215,EMPRESARIAL,949
216,GERENCIA DE TALENTO HUMANO,202
217,GESTION ADMINISTRATIVA,441
218,FUTBOL SALA,649
219,ENSENANZA DE LA MATEMATICA,1337
220,EDUCACION SUPERIOR,517
221,SEGURIDAD Y DEFENSA,441
222,DIFICULTAD PARA EL APRENDIZAJE,1337
223,INVESTIGACION PENAL,916
224,EDUCACION ESPECIAL EN RETARDO MENTAL,1483
225,INVESTIGACION EDUCATIVA,517
226,GERENCIA DE OPERACIONES,766
227,ENFERMERIA,441
228,FORMACION ADMINISTRACION Y CONTABILIDAD,441
229,DIFICULTADES EN EL APRENDIZAJE Y PROBLEMAS EMOCIONALES,1540
230,OPERACIONES,1178
231,GERENCIA CULTURAL,441
232,ADMINISTRACION DEL TALENTO HUMANO,441
233,MUSICA,1337
234,EDUCACION INICIAL,1337
235,RECURSOS MATERIALES Y FINANCIEROS,7
236,DISENO DE MODAS,1337
237,ESTUDIOS BIBLICOS,1681
238,OPERACIONES AEROESPACIALES,274
239,TALENTO HUMANO,441
240,RESGUARDO NACIONAL,253
241,VEGETAL,171
242,EDUCACION COMERCIAL,1483
243,GERENCIA DE RECURSOS HUMANOS,441
244,QUIMICA,1483
245,DOCENCIA UNIVERSITARIA,582
246,EDUCACION MATEMATICA,1337
247,ALMACEN Y MERCADEO,441
248,ADMINISTRACION EDUCATIVA,1337
249,SALUD COMUNITARIA,620
250,GERENCIA Y PLANIFICACION INSTITUCIONAL,7
251,RECURSOS HUMANOS,246
252,EDUCACION FISICA,1483
253,ADMINISTRACION DE RECURSOS HUMANOS,441
254,DESARROLLO ARTESANAL,441
255,GESTION SOCIAL Y DESARROLLO COMUNITARIO,441
256,AGROECOLOGIA,441
257,EDUCACION ARTISTICA,1337
258,EDUCACION FISICA,1337
259,ALMACENAMIENTO Y DISTRIBUCION,59
260,OPERACIONES AEROESPACIALES,275
261,GESTION SOCIAL PUBLICA,441
262,GESTION DE MANTENIMIENTO,618
263,COMPUTARIZADO,478
264,ADMINISTRACION TRIBUTARIA Y GESTION FISCAL,441
265,ADMINISTRACION ADUANERA,7
266,GESTION INTEGRAL ADMINISTRATIVA,441
267,ADMINISTRACION CONTABLE,441
268,CREDITO Y COBRANZAS,159
269,COMUNICACION PARA EL DESARROLLO HUMANISTICO,315
270,FORMACION Y ORGANIZACION SOCIAL,441
271,DIRECCION CORAL,1273
272,ELECTRONICA INDUSTRIAL,1483
273,READAPTACION SOCIAL,144
274,ORTESIS Y PROTESIS,441
275,ADMINISTRACION FINANCIERA,441
276,GESTION SOCIO POLITICA,441
277,DESARROLLO DEPORTIVO,1337
278,EDUCACION INTEGRAL,1337
279,SERVICIOS BIBLIOTECARIOS,1337
280,ENSENANZA DE LA MATEMATICA,517
281,TECNOLOGIA DE LA INFORMACION Y COMUNICACION,1337
282,EDUCACION MUSICAL,1483
283,INFORMATICA,441
284,MANEJO DE LOS RECURSOS AGUA Y SUELO,1571
285,SERVICIOS TURISTICOS,1779
286,EMERGENCIAS PREHOSPITALARIAS,441
287,ADMINISTRACION,275
288,DISENO COMUNICACIONAL,441
289,ELECTRICIDAD,441
290,MANTENIMIENTO INDUSTRIAL,1029
291,GERENCIA EN REGISTRO,441
292,EVALUACION DEL IMPACTO AMBIENTAL,210
293,FORMACION SOCIOPOLITICA,1337
294,PRODUCCION VEGETAL,1685
295,GESTION AMBIENTAL,441
296,ADMINISTRACION EN GERENCIA,1337
297,GEOGRAFIA MILITAR,277
298,GERENCIA ESTRATEGICA,202
299,EVALUACION INSTITUCIONAL,517
300,PLANIFICACION INSTITUCIONAL,517
301,QUIMICA,1500
302,MERCADEO,752
303,EDUCACION FISICA DEPORTE Y RECREACION PARA EL INDIVIDUO CON NECESIDADES ESPECIALES,517
304,FINANZAS,752
305,FINANZAS,246
306,POLITICA INTERNACIONAL,268
307,EDUCACION POPULAR,1337
308,GERENCIA GENERAL,202
309,SISTEMAS DE INFORMACION,752
310,CONSTRUCCION CIVIL,1029
311,ORIENTACION EN EDUCACION PARA PADRES,200
312,EDUCACION,1321
313,CIENCIAS SOCIALES AREA GEOGRAFIA,517
314,INNOVACION Y DESARROLLO TECNOLOGICO,441
315,AGROECOLOGIA,1029
316,MATEMATICA,1483
317,ARTESANIA,441
318,EJECUCION INSTRUMENTAL OBOE,1273
319,SEGURIDAD Y PROTECCION A PERSONAS,441
320,GESTION Y CONTROL FISCAL,441
321,ATENCION AL CIUDADANO,441
